iter	RMSE
254	2.456084548
255	2.453317084
256	2.448791851
257	2.443368216
258	2.438254305
259	2.435598049
260	2.429479219
261	2.425206633
262	2.422169129
263	2.418570762
264	2.416179796
265	2.413854009
266	2.411695184
267	2.410141745
268	2.408854024
269	2.406432509
270	2.403471713
271	2.399505603
272	2.396843461
273	2.394065742
274	2.393394602
275	2.391256369
276	2.390358398
277	2.385664345
278	2.384296909
279	2.378916645
280	2.377370009
281	2.374440834
282	2.371608951
283	2.369013528
284	2.36715531
285	2.364810855
286	2.362753464
287	2.360305888
288	2.358460023
289	2.355873279
290	2.3548726
291	2.351021009
292	2.348777386
293	2.34495329
294	2.341230612
295	2.33796209
296	2.334634463
297	2.332190804
298	2.330329093
299	2.328158557
300	2.32613008
301	2.324136101
302	2.321979152
303	2.320024055
304	2.317680052
305	2.316712889
306	2.315097197
307	2.313633473
308	2.31177976
309	2.308169466
310	2.306149609
311	2.30383362
312	2.300064112
313	2.29879414
314	2.296376051
315	2.295890409
316	2.29463409
317	2.292892399
318	2.291219181
319	2.290418222
320	2.286709067
321	2.283789635
322	2.28268433
323	2.281844513
324	2.279539623
325	2.278685498
326	2.276461308
327	2.273627205
328	2.269780864
329	2.268092309
330	2.264804834
331	2.263023547
332	2.2609139
333	2.259186399
334	2.257507236
335	2.253745129
336	2.253480053
337	2.250417247
338	2.247060912
339	2.246390602
340	2.244712096
341	2.243910214
342	2.242305409
343	2.239120425
344	2.235807704
345	2.234704286
346	2.231773105
347	2.2310024
348	2.229419167
349	2.226566086
350	2.22530376
351	2.223749537
352	2.221195631
353	2.220488374
354	2.216954537
355	2.213586505
356	2.210541675
357	2.209811802
358	2.207120863
359	2.205245326
360	2.202051932
361	2.200739131
362	2.199025415
363	2.196119048
364	2.192892406
365	2.191530588
366	2.190927026
367	2.190061552
368	2.187166857
369	2.184204637
370	2.180473543
371	2.178469798
372	2.177122192
373	2.175107302
374	2.173157192
375	2.172563887
376	2.1689093
377	2.168033526
378	2.16770721
379	2.164728839
380	2.163165985
381	2.160473682
382	2.158146244
383	2.154486801
384	2.1526206
385	2.151112912
386	2.1499934
387	2.14892396
388	2.147356049
389	2.145140383
390	2.144524879
391	2.14310075
392	2.14160556
393	2.140465788
394	2.137580458
395	2.135383733
396	2.132385448
397	2.129795375
398	2.128371077
399	2.125360393
400	2.121649274
401	2.120624747
402	2.1187284
403	2.117416104
404	2.116102724
405	2.113270774
406	2.112691499
407	2.111331327
408	2.110554423
409	2.109302145
410	2.108501242
411	2.106770611
412	2.104967946
413	2.102601619
414	2.100309339
415	2.100048904
416	2.098979486
417	2.09753789
418	2.097016972
419	2.096423972
420	2.094135118
421	2.091656251
422	2.089727834
423	2.087965518
424	2.085662962
425	2.084716015
426	2.082892876
427	2.080495977
428	2.078761492
429	2.075514246
430	2.073168118
431	2.072182863
432	2.068738163
433	2.065566898
434	2.063274347
435	2.062317402
436	2.060214555
437	2.059898924
438	2.058093554
439	2.057661206
440	2.056501788
441	2.056228521
442	2.055535553
443	2.054420115
444	2.053355803
445	2.050805468
446	2.04911523
447	2.048062107
448	2.045672808
449	2.044649989
450	2.043781637
451	2.04319149
452	2.041606406
453	2.041108578
454	2.039622866
455	2.036690617
456	2.035805865
457	2.034783734
458	2.034218816
459	2.032857411
460	2.032070037
461	2.030066961
462	2.029595402
463	2.028316298
464	2.026736782
465	2.025486548
466	2.023659093
467	2.022779821
468	2.022012728
469	2.01990901
470	2.018377795
471	2.017599737
472	2.014541429
473	2.012118796
474	2.011384647
475	2.009316233
476	2.008368057
477	2.005568097
478	2.004766522
479	2.002729587
480	2.002625934
481	2.002095734
482	2.001366686
483	1.999782644
484	1.9993016
485	1.997778487
486	1.996230613
487	1.995140411
488	1.994607647
489	1.994548279
490	1.993782524
491	1.992800821
492	1.991118879
493	1.989173251
494	1.988196943
495	1.987693328
496	1.985578034
497	1.98525935
498	1.983652196
499	1.983246391
500	1.982428328
501	1.979786674
502	1.978304426
503	1.975626383
504	1.97497893
505	1.973003848
506	1.971303821
507	1.970667865
508	1.969835979
509	1.967973998
510	1.966722145
511	1.966097266
512	1.965034044
513	1.963383482
514	1.960826206
515	1.960369921
516	1.959243496
517	1.959051057
518	1.956470978
519	1.953983262
520	1.95260705
521	1.952335255
522	1.952207549
523	1.949793194
524	1.947815767
525	1.947394097
526	1.946617999
527	1.944890018
528	1.943532935
529	1.942694083
530	1.940377348
531	1.939444112
532	1.939136215
533	1.937578587
534	1.93507608
535	1.93310812
536	1.932538859
537	1.93087478
538	1.929795359
539	1.927874496
540	1.926553182
541	1.925464828
542	1.92376262
543	1.921757766
544	1.920840384
545	1.919551182
546	1.91711648
547	1.915568495
548	1.913858553
549	1.912550147
550	1.91173868
551	1.910122567
552	1.90905875
553	1.907428228
554	1.905118851
555	1.904060727
556	1.900682165
557	1.900183526
558	1.89967813
559	1.896925135
560	1.894525162
561	1.89352504
562	1.891758837
563	1.890010935
564	1.888584954
565	1.887860431
566	1.886565668
567	1.885980303
568	1.885139188
569	1.883582334
570	1.881853586
571	1.879934444
572	1.879612249
573	1.878756813
574	1.878347576
575	1.876836728
576	1.876517095
577	1.875175252
578	1.874063504
579	1.873198001
580	1.871749256
581	1.870319868
582	1.87000064
583	1.868335016
584	1.867020457
585	1.865350003
586	1.86398446
587	1.862771989
588	1.861204158
589	1.859568842
590	1.858258403
591	1.856782042
592	1.854447421
593	1.852532876
594	1.851570519
595	1.849526675
596	1.848735691
597	1.848463053
598	1.848087611
599	1.847237826
600	1.846761457
601	1.844858612
602	1.843912576
603	1.842477248
604	1.84137301
605	1.840956238
606	1.839387299
607	1.838191917
608	1.837435416
609	1.836918271
610	1.836327615
611	1.835551682
612	1.834467539
613	1.833846787
614	1.833252717
615	1.832744849
616	1.831804717
617	1.830512031
618	1.830043609
619	1.828595168
620	1.826599784
621	1.825060161
622	1.823722996
623	1.822246735
624	1.821560327
625	1.819991937
626	1.819358613
627	1.818877616
628	1.81816898
629	1.816765869
630	1.81592746
631	1.813147451
632	1.810854731
633	1.810620509
634	1.808879475
635	1.807788245
636	1.805981537
637	1.805627707
638	1.804407691
639	1.803626398
640	1.802321824
641	1.801489534
642	1.800181238
643	1.799344874
644	1.796733174
645	1.796187644
646	1.795835133
647	1.794351945
648	1.79300879
649	1.791982367
650	1.791306837
651	1.788868737
652	1.78787062
653	1.787498109
654	1.786730272
655	1.785850312
656	1.785376417
657	1.784045702
658	1.782599846
659	1.780660255
660	1.779819125
661	1.779106141
662	1.777831037
663	1.77660194
664	1.775782615
665	1.775192956
666	1.774985046
667	1.774288622
668	1.773502802
669	1.772669686
670	1.771173129
671	1.77063313
672	1.768679794
673	1.767885948
674	1.767249353
675	1.766136713
676	1.765919023
677	1.76424445
678	1.763327993
679	1.761643593
680	1.76126927
681	1.760946577
682	1.760532129
683	1.760025172
684	1.75943364
685	1.757919732
686	1.757193206
687	1.756841695
688	1.755730307
689	1.755136221
690	1.754774266
691	1.753743948
692	1.752756541
693	1.751358175
694	1.750009199
695	1.749863145
696	1.748873251
697	1.747092953
698	1.745706754
699	1.744648382
700	1.743592065
701	1.743490536
702	1.74327744
703	1.741799975
704	1.740767331
705	1.740399845
706	1.739226867
707	1.738278729
708	1.737749964
709	1.736772886
710	1.736151981
711	1.735562547
712	1.735132698
713	1.734662396
714	1.73343307
715	1.732546817
716	1.731066215
717	1.730071856
718	1.729378436
719	1.727432288
720	1.726467586
721	1.725827113
722	1.724900463
723	1.724146916
724	1.722250721
725	1.720690226
726	1.719611453
727	1.718188557
728	1.717079607
729	1.716331507
730	1.716029596
731	1.715530219
732	1.714608951
733	1.713487476
734	1.712911595
735	1.711655153
736	1.709950877
737	1.709713267
738	1.708479177
739	1.70681362
740	1.706135539
741	1.704498768
742	1.702984501
743	1.701606804
744	1.699637227
745	1.698268015
746	1.696843594
747	1.696136807
748	1.694848587
749	1.693812423
750	1.692846914
751	1.692241655
752	1.691831376
753	1.689945306
754	1.688460501
755	1.686287479
756	1.684951183
757	1.684168992
758	1.682019884
759	1.680966332
760	1.680687531
761	1.680055015
762	1.679115867
763	1.678154567
764	1.677533646
765	1.676674995
766	1.676464752
767	1.676270479
768	1.674572321
769	1.674523428
770	1.674429823
771	1.673197653
772	1.673013724
773	1.672394144
774	1.670516272
775	1.670368904
776	1.669409959
777	1.667135675
778	1.665958489
779	1.665348652
780	1.664371374
781	1.663309436
782	1.662781295
783	1.661548829
784	1.660909883
785	1.660663089
786	1.659326655
787	1.659013989
788	1.658275119
789	1.657952455
790	1.656626756
791	1.65587774
792	1.655689138
793	1.65491573
794	1.652966376
795	1.652514673
796	1.651381575
797	1.649864027
798	1.648909382
799	1.648406033
800	1.646178522
801	1.645324137
802	1.644514692
803	1.644142448
804	1.64309095
805	1.642488538
806	1.642319683
807	1.640560535
808	1.640425017
809	1.639877206
810	1.639649144
811	1.639009053
812	1.63821257
813	1.63810632
814	1.637309739
815	1.636202434
816	1.634292375
817	1.633463807
818	1.631915174
819	1.631248618
820	1.6296485
821	1.629591636
822	1.628817646
823	1.62797208
824	1.6268114
825	1.626416309
826	1.625557799
827	1.624852769
828	1.624129383
829	1.624020646
830	1.622707373
831	1.622459364
832	1.621705051
833	1.620511155
834	1.619143383
835	1.618471425
836	1.618034217
837	1.617666362
838	1.616758246
839	1.616103097
840	1.615181128
841	1.614203449
842	1.613500286
843	1.613143045
844	1.612011111
845	1.610914254
846	1.610118799
847	1.609915934
848	1.609289944
849	1.608095019
850	1.607374542
851	1.606621535
852	1.606205882
853	1.606183407
854	1.605438493
855	1.604862083
856	1.604543134
857	1.603527663
858	1.602671043
859	1.602011221
860	1.601687474
861	1.601635416
862	1.600671593
863	1.599404514
864	1.598720999
865	1.598192477
866	1.597933926
867	1.597263145
868	1.596702268
869	1.596507624
870	1.595134436
871	1.594153984
872	1.593842448
873	1.593308386
874	1.592427903
875	1.592317289
876	1.591604056
877	1.591128019
878	1.590446693
879	1.588797955
880	1.588255566
881	1.588168138
882	1.587517574
883	1.586748991
884	1.586107676
885	1.585733356
886	1.585254222
887	1.584226152
888	1.582961334
889	1.582342511
890	1.581675775
891	1.581052164
892	1.580076253
893	1.578938719
894	1.578268534
895	1.577368065
896	1.57673706
897	1.576295879
898	1.576252145
899	1.575573766
900	1.575243145
901	1.574783942
902	1.574692089
903	1.574015903
904	1.573212081
905	1.571501785
906	1.571438917
907	1.570736227
908	1.570413887
909	1.56978672
910	1.568542003
911	1.568176536
912	1.566754194
913	1.564798528
914	1.564010718
915	1.563388386
916	1.562609458
917	1.562064235
918	1.561580369
919	1.56099582
920	1.560175641
921	1.559426169
922	1.55916164
923	1.558861128
924	1.557801224
925	1.557158445
926	1.556704979
927	1.555317483
928	1.554674119
929	1.553448708
930	1.553159643
931	1.552437868
932	1.552095958
933	1.551957338
934	1.550716183
935	1.549938901
936	1.549164728
937	1.548583783
938	1.548422105
939	1.547844538
940	1.54618858
941	1.546109799
942	1.545920253
943	1.544736303
944	1.544427787
945	1.543906127
946	1.543580853
947	1.541459488
948	1.540571701
949	1.539672085
950	1.539621185
951	1.538946418
952	1.538344172
953	1.537649777
954	1.537143118
955	1.536985219
956	1.536488524
957	1.53554184
958	1.535008766
959	1.534868925
960	1.534231812
961	1.533116159
962	1.532560474
963	1.531066526
964	1.530725921
965	1.530693373
966	1.529193855
967	1.52866859
968	1.528528904
969	1.527714615
970	1.526312963
971	1.525066654
972	1.524873942
973	1.524036842
974	1.52342896
975	1.522993942
976	1.522263002
977	1.521445288
978	1.521004537
979	1.520774053
980	1.520693345
981	1.520002089
982	1.5193961
983	1.51886048
984	1.517907593
985	1.517092542
986	1.516011926
987	1.515135332
988	1.514639541
989	1.514439953
990	1.513755034
991	1.512815682
992	1.512244348
993	1.511415383
994	1.510722767
995	1.510659639
996	1.510224837
997	1.509586658
998	1.508375718
999	1.50808225
